,artist,title,year,†artist,*artist
N00785,Sir Thomas Lawrence,"Mrs Siddons, ? as Mrs Haller in ‘The Stranger’",1790,1830,1769
T00354,Josef Herman,The Pit Pony,1940,2000,1911
N05338,Grace Golden,Free Speech,1930,1993,1904
N03684,Harold Gilman,"Canal Bridge, Flekkefjord",1890,1919,1876
T14247,Meredith Frampton,Portrait of Lady Frampton,1920,1984,1894
N00398,Sir Charles Lock Eastlake,"Haidée, a Greek Girl",1820,1865,1793
N00316,Philip James De Loutherbourg,"Lake Scene, Evening",1760,1812,1740
N03166,Sir Muirhead Bone,"Snowy Morning, Queen Margaret’s College, Glasgow",1900,1953,1876
T01067,Lemuel Francis Abbott,Portrait of the Engraver Francesco Bartolozzi,1770,1803,1760
N00302,Richard Wilson,Hadrian’s Villa,1740,1782,1713
N01920,George Frederic Watts,Life’s Illusions,1850,1904,1817
N00462,Joseph Mallord William Turner,"Union of the Thames and Isis (‘Dorchester Mead, Oxfordshire’)",1800,1851,1775
N05508,Joseph Mallord William Turner,Studies for ‘Dawn of Christianity’,1800,1851,1775
TW1510,Joseph Mallord William Turner,"Landscape, with Woman with Tambourine",1800,1851,1775
N05475,Joseph Mallord William Turner,A River Seen from a Hill,1800,1851,1775
T03370,Rufino Tamayo,Man and Woman,1930,1991,1899
T00415,William Scott,"White, Sand and Ochre",1940,1989,1913
N05664,Sir William Rothenstein,"Barn at Cherington, Gloucestershire",1900,1945,1872
T00083,Ceri Richards,Cycle of Nature,1930,1971,1903
N05798,Sir Joshua Reynolds,Francis Beckford,1750,1792,1723
N06037,Edouard Pignon,The Miner,1930,1993,1905
T01758,Kenneth Martin,Composition,1930,1984,1905
N00619,"Frederick Richard Lee, Thomas Sidney Cooper",Evening in the Meadows (cattle by Thomas Sidney Cooper),1830,1879,1803
T02335,Louis Le Brocquy,Study Towards an Image of James Joyce,1950,2012,1916
N03468,James Dickson Innes,"South of France, Bozouls, near Rodez",1900,1914,1887
T03430,John Frederick Herring,The Hunting Stud,1820,1865,1795
T03219,Peter Greenham,Life Class,1940,1992,1909
N06143,Duncan Grant,Still Life with Carrots,1920,1978,1885
N05201,Barnett Freedman,Street Scene,1920,1958,1901
T00302,Antoni Clavé,Child with a Water-Melon,1940,2005,1913
N00376,Henry Perronet Briggs,Romeo and Juliet - Act II Scene 5 (‘Juliet and her Nurse’),1810,1844,1791
T00282,Robert Bevan,Haze over the Valley,1880,1925,1865
T13294,Zhang Enli,Bucket 8,1960,1965,1965
T13784,Rose Wylie,Pin Up and Porn Queen Jigsaw,1930,1934,1934
N05264,Benjamin West,"Sir Thomas Beauchamp-Proctor, Bt",1770,1820,1738
T14867,Marie-Louise Von Motesiczky,Portrait of a Russian Student,1940,1996,1906
TW1051,Joseph Mallord William Turner,"The Trout Stream (‘Trout Fishing in the Dee, Corwen Bridge and Cottage’)",1800,1851,1775
T00536,Graham Sutherland OM,The Scales,1930,1980,1903
N01623,Adrian Stokes,Uplands and Sky,1880,1935,1854
N04800,Sir Stanley Spencer,Turkeys,1910,1959,1891
N05407,Sir William Rothenstein,Miss Edith Lockyer Williams,1900,1945,1872
N01026,John Opie,Portrait of a Lady in the Character of Cressida,1780,1807,1761
N01604,Henry Moore,Catspaws off the Land,1850,1895,1831
N01940,George Dunlop Leslie,Kept in School,1860,1921,1835
N03688,Sir John Lavery,"The Golf Course, North Berwick",1880,1941,1856
N01224,Thomas Hudson,"Samuel Scott, the Marine Painter",1730,1779,1701
T06656,Peter Greenham,Lady Bonham Carter,1940,1992,1909
T01886,Charles Gill,The Lethbridge Children,1830,1828,1828
N02638,Thomas Gainsborough,Miss Elizabeth Singleton,1750,1788,1727
N05069,André Dunoyer de Segonzac,The Farm on the Estate,1910,1974,1884
N01608,Henry William Banks Davis,Returning to the Fold,1860,1914,1833
N03394,James Charles,Threatening Weather,1870,1906,1851
T00894,"Unknown artist, France",Apollo,0,-1,-1
N05498,Joseph Mallord William Turner,Reclining Venus,1800,1851,1775
N05480,Joseph Mallord William Turner,First Sketch for ‘The Battle of Trafalgar’,1800,1851,1775
N04204,Robert Alan Mowbray Stevenson,Houses in Snow,1860,1900,1847
N06150,Sir Stanley Spencer,"Tree and Chicken Coops, Wangford",1910,1959,1891
N05093,Walter Richard Sickert,"Venice, la Salute",1890,1942,1860
N00368,Sir Martin Archer Shee,Thomas Morton Esq.,1800,1850,1769
T01550,Isaac Rosenberg,Self-Portrait,1900,1918,1890
T02347,William Roberts,Skipping (The Gutter),1920,1980,1895
N05372,William Roberts,Self-Portrait Wearing a Cap,1920,1980,1895
T01898,Mary Potter,Bonfire,1930,1981,1900
T07955,Ben Nicholson OM,1922 (bread),1920,1982,1894
T03077,Max Liebermann,After Bathing,1880,1935,1847
AR01246,Alex Katz,West 1,1930,1927,1927
N05292,Augustus John OM,"Head of Romilly, the Artist’s Son",1910,1961,1878
N05259,Augustus John OM,An Old Lady,1910,1961,1878
N03907,Arthur Boyd Houghton,Ramsgate Sands,1850,1875,1836
N01598,James Clarke Hook,The Stream,1850,1907,1819
T03429,Charles Cooper Henderson,Mail Coach in a Snowstorm,1830,1877,1803
N01603,Edwin Hayes,"Sunset at Sea: From Harlyn Bay, Cornwall",1850,1904,1819
N06354,William Etty,"The Coral Finder: Venus and her Youthful Satellites, replica",1810,1849,1787
N03316,John Downman,Sir Ralph Abercromby (?) and Companion,1770,1824,1750
T01403,Thomas Daniell,"Sher Shah’s Mausoleum, Sasaram",1780,1840,1749
N05965,John Constable,The Revd Dr James Andrew,1800,1837,1776
N03580,Jacques-Emile Blanche,Thomas Hardy,1890,1942,1861
N01659,Thomas Whitcombe,The Battle of Camperdown,1800,1824,1783
N04661,Joseph Mallord William Turner,"Riva degli Schiavone, Venice: Water Fête",1800,1851,1775
N02697,Joseph Mallord William Turner,Caversham Bridge with Cattle in the Water,1800,1851,1775
A00840,Thomas Matthews Rooke,Ruth and Boaz,1880,1942,1842
T07092,Peter John van Reysschoot,A Jacobite Group in St James Park,1730,1772,1702
N03880,Sir Henry Raeburn,The 1st Viscount Melville,1780,1823,1756
T00820,Roderic O’Conor,Red Roofs,1890,1940,1860
T01840,François Morellet,Two Warps and Wefts of Short Lines 0° 90°,1930,1926,1926
T02364,Benjamin Marshall,Emilius,1790,1835,1768
N05101,Jean Marchand,Landscape at Vence,1900,1941,1883
N01620,John Seymour Lucas,"After Culloden, Rebel Hunting",1870,1923,1849
N00605,Sir Edwin Henry Landseer,The Defeat of Comus,1830,1873,1802
T03112,William Jones,Phillida Rejecting Mopsus and Cimon: A Scene from Colley Cibber’s ‘Damon and Phillida’,1740,1749,1738
T00427,Henry Inlander,Moving Surface,1940,1983,1925
N03170,Sir Charles John Holmes,The Red Ruin,1890,1936,1868
T00943,Attributed to Gawen Hamilton,An Elegant Company Playing Cards,1710,1737,1698
T00399,Anthony Fry,"Dance, Blue and Yellow",1960,2017,1927
N03288,Jean-Louis Forain,The Tribunal,1880,1931,1852
N00444,Augustus Leopold Egg,Scene from ‘The Devil upon Two Sticks’,1830,1863,1816
N05986,Russell Drysdale,War Memorial,1930,1981,1912
T12327,Richard Cook,"Lelant, November 1998",1950,1947,1947
T01864,Adrian Allinson,Ibizan Waterfront,1910,1959,1890
N05621,Benjamin West,Sketch for ‘The Ascension’,1770,1820,1738
N01646,George Frederic Watts,The Messenger,1850,1904,1817
N05482,Joseph Mallord William Turner,Venetian Scene,1800,1851,1775
A00909,Joseph Mallord William Turner,"The Death of Actaeon, with a Distant View of Montjovet, Val d’Aosta",1800,1851,1775
T03878,Joseph Mallord William Turner,"Tabley, Cheshire, the Seat of Sir J.F. Leicester, Bart.: Calm Morning",1800,1851,1775
T05800,William Turnbull,Head,1950,2012,1922
T13669,Amikam Toren,Armchair Painting - Untitled (wallbound),1940,1945,1945
N04565,Henry Tonks,Summer,1890,1937,1862
T01217,Graham Sutherland OM,Hydrant II,1930,1980,1903
T14280,Sylvia Sleigh,The Bride (Lawrence Alloway),1950,2010,1916
T00259,Walter Richard Sickert,The Servant of Abraham,1890,1942,1860
N01537,Erskine Nicol,Wayside Prayer,1850,1904,1825
N04947,Maxime Maufra,The Embankment of Lagny under Flood Water,1880,1918,1861
N05039,Wyndham Lewis,La Suerte,1910,1957,1882
N05032,Simon Levy,The Musician,1910,1973,1886
N01533,Sir Edwin Henry Landseer,Uncle Tom,1830,1873,1802
N03192,Henry Lamb,Head of an Irish Girl,1910,1960,1883
N03581,Augustus John OM,The Orange Jacket,1910,1961,1878
N04406,Sir Charles Holroyd,Death of Torrigiano,1880,1917,1861
T00052,Francis Hayman,Thomas Nuthall and his Friend Hambleton Custance,1730,1776,1708
T02266,Attributed to James Hamilton,Two Hounds Chasing a Hare,1670,1720,1640
T01064,Anthony Green,Souvenir de Jeunesse: Madeleine Joscelyne’s Lounge,1940,1939,1939
T14746,Denzil Forrester,Three Wicked Men,1960,1956,1956
T00830,Merlyn Oliver Evans,The Conquest of Time,1930,1973,1910
N00397,Sir Charles Lock Eastlake,Christ Lamenting over Jerusalem,1820,1865,1793
T01107,Sir William Coldstream,"Casualty Reception Station, Capua",1930,1987,1908
N06015,Simon Bussy,Lady Ottoline Morrell,1900,1954,1870
N01539,George Henry Boughton,Weeding the Pavement,1860,1905,1833
N04834,James Bateman,Commotion in the Cattle Ring,1910,1959,1893
N01594,Charles William Wyllie,Digging for Bait,1880,1923,1853
T06900,Karl Weschke,Feeding Dog,1950,2005,1925
T07216,Carel Weight,L’Après-midi d’une ouvrière,1940,1997,1908
N06006,Dame Ethel Walker,Self-Portrait,1890,1951,1861
N03384,Joseph Mallord William Turner,Rouen: A View from the Left Bank in the Faubourg St-Sever,1800,1851,1775
N00731,Rev. John Thomson of Duddingston,"Loch-an-Eilean, Rothiemurchus, Inverness-shire",1800,1840,1778
N05556,Sir Stanley Spencer,The Roundabout,1910,1959,1891
N00367,Sir Martin Archer Shee,A Young Bacchus,1800,1850,1769
N03825,Sir James Jebusa Shannon,Phil May,1880,1923,1862
N03724,George Romney,Lady Emilia Kerr,1760,1802,1734
T05837,Rita Donagh,Long Meadow,1940,1939,1939
N00305,Sir Joshua Reynolds,Sir Abraham Hume,1750,1792,1723
T00493,Henry Pether,"Greenwich Reach, Moonlight",1840,1865,1828
N01501,Alphonse Legros,Femmes en Prière,1860,1911,1837
N00136,Sir Thomas Lawrence,Miss Laura Dorothea Ross (Mrs Francis Robertson),1790,1830,1769
N05801,James Latham,The Rt Hon. Sir Capel Molyneux,1710,1747,1696
T07121,William Hogarth,"Portrait of George Osborne, later John Ranby Jnr",1720,1764,1697
N04921,Charles Napier Hemy,Evening Grey,1870,1917,1841
N05099,Spencer Gore,Mornington Crescent,1890,1914,1878
T12389,Natalia Goncharova,Country by Day,1910,1962,1881
N06137,Barnett Freedman,Music,1920,1958,1901
N05692,Richard Eurich,Survivors from a Torpedoed Ship,1930,1992,1903
T01092,Roy De Maistre,Marriage,1920,1968,1894
T02356,James Barenger,"Jonathan Griffin, Huntsman to the Earl of Derby’s Staghounds",1800,1831,1780
N01619,James Aumonier,Sheep-Washing in Sussex,1860,1911,1832
T06680,Craigie Aitchison,Model and Dog,1950,2009,1926
N01913,George Frederic Watts,A Story from Boccaccio,1850,1904,1817
N04859,Ernst Van Leyden,Girl with Clasped Hands,1920,1969,1892
T07804,Adrian Stokes,Still Life,1930,1972,1902
T02368,John Nost Sartorius,The Earl of Darlington Fox-Hunting with the Raby Pack: Drawing Cover,1780,1828,1759
T00292,Ceri Richards,"Trafalgar Square, London",1930,1971,1903
T00770,Anne Redpath,The Poppy Field,1920,1965,1895
N03212,Sir William Quiller Orchardson,Charles Moxon,1860,1910,1832
T06527,John Murphy,An Indefinable Odour of Flowers Forever Cut,1940,1945,1945
N02640,George Morland,Cowherd and Milkmaid,1780,1804,1763
N01142,Cecil Gordon Lawson,The August Moon,1860,1882,1849
N01404,John Jackson,James Northcote,1800,1831,1778
T00726,Thomas Gainsborough,Mrs Susanna Gardiner,1750,1788,1727
T00741,Paul Feiler,Inclined Oval Brown,1950,2013,1918
N00399,Sir Charles Lock Eastlake,"The Escape of Francesco Novello di Carrara, with his Wife, from the Duke of Milan",1820,1865,1793
T14131,John Craxton,Portrait of Sonia,1950,2009,1922
N05369,George Chinnery,"How Qua, Senior Hong Merchant at Canton, China",1800,1852,1774
N01575,Sir Hubert Von Herkomer,Found,1870,1914,1849
N03388,Joseph Mallord William Turner,"Tivoli, the Cascatelle",1800,1851,1775
TW1207,Joseph Mallord William Turner,Harbour of Dieppe (Changement de Domicile),1800,1851,1775
N02988,Joseph Mallord William Turner,Grenoble Seen from the River Drac with Mont Blanc in the Distance,1800,1851,1775
N00464,Joseph Mallord William Turner,A Subject from the Runic Superstitions ...,1800,1851,1775
T00202,Samuel Scott,Admiral Anson’s Action off Cape Finisterre 1747,1730,1772,1702
N01906,George Romney,Jacob Morland of Capplethwaite,1760,1802,1734
N06018,William Roberts,Cantering to the Post,1920,1980,1895
T00802,Ceri Richards,La Cathédrale Engloutie (Arabesque 3),1930,1971,1903
N05354,Ceri Richards,Blossoms,1930,1971,1903
T00283,John Maxwell,Night Flowers,1920,1962,1905
N04960,Sir William Llewellyn,Sailing at Blakeney,1890,1941,1858
N00349,Henry Howard,The Florentine Girl (‘The Artist’s Daughter’),1790,1847,1769
T01230,Roger Hilton,February 1954,1930,1975,1911
T11908,Eberhard Havekost,Ghost 2,1970,1967,1967
N05306,Charles Ginner,Hartland Point from Boscastle,1900,1952,1878
T00642,Thomas Gainsborough,An Officer of the 16th Light Dragoons,1750,1788,1727
N01963,Charles Wellington Furse,The Return from the Ride,1880,1904,1868
N04700,Charles Cundall,"Bank Holiday, Brighton",1920,1971,1890
N03837,Charles Conder,A Summer Afternoon: The Green Apple,1880,1909,1868
T02093,Prunella Clough,By the Canal,1950,1999,1919
T12867,Sir George Clausen,The Farmer’s Boy,1880,1944,1852
T00900,Jack Bush,Colour Column on Suede,1930,1977,1909
N01306,Thomas Barker of Bath,Landscape with Figures and Sheep,1790,1847,1769
T12608,John Wootton,Life-Size Horse with Huntsman Blowing a Horn,1710,1764,1682
T03892,Gerald Wilde,Fata Morgana,1930,1986,1905
T00916,Antonio Verrio,Sketch for a Ceiling Decoration: An Assembly of the Gods,1660,1707,1639
TW1210,Joseph Mallord William Turner,"Van Goyen, Looking Out for a Subject",1800,1851,1775
N02692,Joseph Mallord William Turner,"Trees beside the River, with Bridge in the Middle Distance",1800,1851,1775
TW1330,Joseph Mallord William Turner,The Banks of the Loire [formerly ‘A View on the Rhone (?)’],1800,1851,1775
N05506,Joseph Mallord William Turner,Southern Landscape with an Aqueduct and Waterfall,1800,1851,1775
N01875,Joseph Mallord William Turner,Landscape: Christ and the Woman of Samaria,1800,1851,1775
N05540,Joseph Mallord William Turner,Italian Landscape with a Tower,1800,1851,1775
N03186,Henry Tonks,A Girl with a Parrot,1890,1937,1862
T07801,Adrian Stokes,Still Life,1930,1972,1902
N04463,Philip Wilson Steer,Stroud: An Upland Landscape,1890,1942,1860
T05529,Walter Richard Sickert,The Seducer,1890,1942,1860
N05345,Claude Rogers,Mrs Richard Chilver,1930,1979,1907
T02329,John Quinton Pringle,The Window,1880,1925,1864
T06678,Winifred Nicholson,The Hunter’s Moon,1920,1981,1893
T07036,Stephen McKenna,Large Studio at Castiglion,2020,2017,2017
T13272,Marwan (Marwan Kassab Bachi),"Sisyphus, The Wall",1960,2016,1934
N05073,André Lhote,Study for ‘Homage to Watteau’,1910,1962,1885
T04110,George Lambert,Moorland Landscape with Rainstorm,1720,1765,1700
N02252,James Clarke Hook,Wreckage from the Fruiter,1850,1907,1819
N05368,Ivon Hitchens,View from Terrace: Ashdown Forest,1920,1979,1893
N00678,Thomas Gainsborough,Abel Moysey,1750,1788,1727
N04461,Reginald G Eves,Thomas Hardy,1900,1941,1876
T00325,Pierre Dimitrienko,The Petrified Forest,1940,1974,1925
N06038,Samuel Colman (or Coleman),The Temple of Flora,1800,1845,1780
N01599,George Vicat Cole,The Pool of London,1850,1893,1833
T01997,Sydney Carline,Bank Holiday on Hampstead Heath,1900,1929,1888
T00115,Charles Brooking,A British Man of War Firing a Salute,1730,1759,1723
T01299,Giacomo Amiconi,Mercury About to Slay Argus,1710,1752,1682
T15057,Zhang Enli,Meat Market (2),1960,1965,1965
T00321,Leon Zack,Painting,1920,1980,1892
T07695,Leon Underwood,The Ember (Italian Immigrant),1920,1975,1890
TW0868,Joseph Mallord William Turner,Falls of Schaffhausen (‘The Val d’Aosta’),1800,1851,1775
N03952,Annie Louisa Swynnerton,New Risen Hope,1870,1933,1844
N05903,Sir Matthew Smith,Cornish Church,1910,1959,1879
N05045,Walter Richard Sickert,"Les Arcades de la Poissonnerie, Dieppe",1890,1942,1860
T05871,William Scott,Permutations Ochre,1940,1989,1913
N03012,John Singer Sargent,Professor Ingram Bywater,1880,1925,1856
N03569,Sir Walter Russell,Mr Minney,1890,1949,1867
N00618,George Bernard O’Neill,The Foundling,1860,1917,1828
N01497,George Morland,Rabbiting,1780,1804,1763
N06207,Abraham Mintchine,Portrait of the Artist as a Harlequin,1910,1931,1898
T13580,Simon Ling,Untitled,1970,1968,1968
N04965,A. Gosset James,Winter on the Windrush,1900,1950,1875
N01514,James Clarke Hook,The Seaweed Raker,1850,1907,1819
T01205,Ivon Hitchens,"October Painting, Yellow and Blue",1920,1979,1893
N04971,Allan Gwynne-Jones,A Fair by Night,1920,1982,1892
T07650,Michael Gross,Self Portrait,1950,2004,1920
N03839,Spencer Gore,Houghton Place,1890,1914,1878
T12388,Natalia Goncharova,City by Night,1910,1962,1881
N01044,Thomas Gainsborough,"The Rev. Sir Henry Bate-Dudley, Bart",1750,1788,1727
T13787,Hideko Fukushima,Arc 8,1950,1997,1927
T00619,Max Ernst,Moon in a Bottle,1920,1976,1891
T11860,Ken Currie,Scottish Mercenaries,1960,1960,1960
N04411,Charles Conder,Swanage Bay,1880,1909,1868
T00377,Alfredo Chighine,Composition with Palm Trees,1930,1974,1914
T14881,Ramses Younan,Inspiration from the sea,1930,1966,1913
N00383,Henry Wyatt,Vigilance,1810,1840,1794
N01531,Henry Woods,Cupid’s Spell,1870,1921,1846
N05497,Joseph Mallord William Turner,The Rest on the Flight into Egypt,1800,1851,1775
T07739,N.H. Stubbing (Tony Stubbing),Druid Light,1940,1983,1921
T00706,Ian Stephenson,Parachrome,1960,2000,1934
T00570,Jack Smith,"Black, White and Grey Movement No. 2",1960,2011,1928
T05838,Rita Donagh,Counterpane,1940,1939,1939
T01539,Gordon Onslow-Ford,Determination of Gender,1940,2003,1912
N05135,Sine Mackinnon,Farm Buildings in Provence,1930,1996,1901
N00402,Charles Robert Leslie,Sancho Panza in the Apartment of the Duchess,1820,1859,1794
N00408,Charles Landseer,Clarissa Harlowe in the Prison Room of the Sheriff’s Office,1830,1879,1799
T03842,Gerald Laing,Skydiver VI,1960,2011,1936
T11761,Augustus John OM,Dorelia Standing before a Fence,1910,1961,1878
N05358,Alfred William Hunt,"Iron Works, Middlesbrough",1850,1896,1830
T03127,Ivon Hitchens,A View from my Roof,1920,1979,1893
T00503,Roger Hilton,September 1961,1930,1975,1911
T02362,John Frederick Herring,"Manuella, at Richard Watt’s Stud Farm, Bishop Burton, Yorkshire",1820,1865,1795
N05428,Duncan Grant,The Hayrick,1920,1978,1885
T06489,Sir Lawrence Gowing,Wellington Square,1940,1991,1918
T03561,Spencer Gore,The Artist’s Wife,1890,1914,1878
N05859,Spencer Gore,Inez and Taki,1890,1914,1878
T13025,Charles Ginner,"La Vieille Balayeuse, Dieppe",1900,1952,1878
N01485,Thomas Gainsborough,Landscape with a Peasant on a Path,1750,1788,1727
N01789,Alexander Fraser,Figures Outside an Inn: Scene from ‘Peveril of the Peak’,1810,1865,1786
N05336,Ronald Ossory Dunlop,"Rosalind Iden, as Ophelia",1920,1973,1894
T03220,Sir Roger De Grey,Interior: Exterior,1940,1995,1918
T03815,Alan Davie,Village Myths No. 36,1950,2014,1920
T01132,Francis Danby,The Wood Nymph’s Hymn to the Rising Sun,1820,1861,1793
T01141,John Constable,Susannah Lloyd,1800,1837,1776
T07734,Cecil Collins,The Poet,1930,1989,1908
T02351,Jacques Laurent Agasse,Lord Rivers’s Groom Leading a Chestnut Hunter towards a Coursing Party in Hampshire,1790,1849,1767
