,artist,title,year,†artist,*artist
N00470,Joseph Mallord William Turner,The Tenth Plague of Egypt,1800,1851,1775
T13589,Leonor Fini,Little Hermit Sphinx,1940,1996,1908
N01507,"Sir John Everett Millais, Bt",The Vale of Rest,1850,1896,1829
AR01126,Edward Ruscha,The Music from the Balconies,1940,1937,1937
T06743,R.B. Kitaj,The Wedding,1960,2007,1932
T05870,Philip Guston,Monument,1940,1980,1913
N06034,Graham Sutherland OM,Somerset Maugham,1930,1980,1903
T07521,Joan Miró,Head of a Catalan Peasant,1920,1983,1893
T12312,Marlene Dumas,Stern,1950,1953,1953
N05305,William Etty,Standing Female Nude,1810,1849,1787
N00492,Joseph Mallord William Turner,Frosty Morning,1800,1851,1775
N00606,Sir Edwin Henry Landseer,Shoeing,1830,1873,1802
N00162,Sir Joshua Reynolds,The Infant Samuel,1750,1792,1723
N03065,Ford Madox Brown,Lear and Cordelia,1840,1893,1821
T00864,Gavin Hamilton,Priam Pleading with Achilles for the Body of Hector,1750,1798,1723
N03592,Henry Alexander Bowler,The Doubt: ‘Can these Dry Bones Live?’,1850,1903,1824
T03051,Edward Burra,The Snack Bar,1930,1976,1905
N04717,Henri Matisse,Trivaux Pond,1900,1954,1869
N04723,Amedeo Modigliani,Portrait of a Girl,1900,1920,1884
T12935,Gillian Carnegie,Black Square,1970,1971,1971
N05077,Vanessa Bell,Nude,1910,1961,1879
T05077,Karel Appel,"Hip, Hip, Hoorah!",1950,2006,1921
T12033,Sir Joshua Reynolds,Colonel Acland and Lord Sydney: The Archers,1750,1792,1723
T07080,Yves Tanguy,Azure Day,1920,1955,1900
T00298,Dorothea Tanning,A Mi-Voix,1940,2012,1910
N03594,John Frederick Lewis,The Siesta,1830,1876,1805
T07956,Sir Anthony Van Dyck,"Portrait of Mary Hill, Lady Killigrew",1610,1641,1599
N05638,Thomas Gainsborough,The Artist’s Daughter Mary,1750,1788,1727
N04465,John Singer Sargent,Miss Priestley,1880,1925,1856
N04184,Claude Monet,Woman Seated on a Bench,1870,1926,1840
T03366,Richard Wilson,Meleager and Atalanta,1740,1782,1713
N04093,Augustus John OM,Madame Suggia,1910,1961,1878
T00657,Yves Tanguy,The Invisibles,1920,1955,1900
N04719,Pablo Picasso,Seated Woman in a Chemise,1910,1973,1881
T03834,Oskar Kokoschka,The Crab,1920,1980,1886
N01374,William Hogarth,Heads of Six of Hogarth’s Servants,1720,1764,1697
T03889,Henri Matisse,Studio Interior,1900,1954,1869
